,cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,cement-water,cement-coarseaggregate,cement-fineaggregate,slag-cement,slag-water,slag-coarseaggregate,slag-fineaggregate,flyash-cement,flyash-water,flyash-coarseaggregate,flyash-fineaggregate,water-cement,water-coarseaggregate,water-fineaggregate,superplasticizer-cement,superplasticizer-water,superplasticizer-coarseaggregate,superplasticizer-fineaggregate,coarseaggregate-cement,coarseaggregate-water,coarseaggregate-fineaggregate,fineaggregate-cement,fineaggregate-water,fineaggregate-coarseaggregate,clase,fitness,grupo_cruce,seleccionado,con_mutacion,fila
65,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,P,-3397.8242801997785,0.0,1.0,0.0,98.0
66,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,P,-3399.3271481567326,0.0,1.0,0.0,99.0
67,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,P,-3402.9058838868987,0.0,1.0,0.0,100.0
68,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,P,-3404.981568286491,0.0,1.0,0.0,101.0
69,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,P,-3406.586707238923,35.0,1.0,0.0,102.0
70,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,P,-3400.8804665824573,0.0,1.0,0.0,103.0
71,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,P,-3402.7729508827224,0.0,1.0,0.0,104.0
72,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,P,-3405.463120115068,0.0,1.0,0.0,105.0
73,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,P,-3406.447239654377,0.0,1.0,0.0,106.0
74,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,P,-3405.7404052684687,5.0,1.0,0.0,107.0
